Zip	City	State	County
10179    	NEW YORK                      	NY	NEW YORK                                                    
10184    	NEW YORK                      	NY	NEW YORK                                                    
10185    	NEW YORK                      	NY	NEW YORK                                                    
10196    	NEW YORK                      	NY	NEW YORK                                                    
10197    	NEW YORK                      	NY	NEW YORK                                                    
10199    	NEW YORK                      	NY	NEW YORK                                                    
10200    	NEW YORK                      	NY	NEW YORK                                                    
10203    	NEW YORK                      	NY	NEW YORK                                                    
10211    	NEW YORK                      	NY	NEW YORK                                                    
10212    	NEW YORK                      	NY	NEW YORK                                                    
10213    	NEW YORK                      	NY	NEW YORK                                                    
10242    	NEW YORK                      	NY	NEW YORK                                                    
10249    	NEW YORK                      	NY	NEW YORK                                                    
10256    	NEW YORK                      	NY	NEW YORK                                                    
10257    	NEW YORK                      	NY	NEW YORK                                                    
10258    	NEW YORK                      	NY	NEW YORK                                                    
10259    	NEW YORK                      	NY	NEW YORK                                                    
10260    	NEW YORK                      	NY	NEW YORK                                                    
10261    	NEW YORK                      	NY	NEW YORK                                                    
10265    	NEW YORK                      	NY	NEW YORK                                                    
10268    	NEW YORK                      	NY	NEW YORK                                                    
10269    	NEW YORK                      	NY	NEW YORK                                                    
10270    	NEW YORK                      	NY	NEW YORK                                                    
10271    	NEW YORK                      	NY	NEW YORK                                                    
10272    	NEW YORK                      	NY	NEW YORK                                                    
10273    	NEW YORK                      	NY	NEW YORK                                                    
10274    	NEW YORK                      	NY	NEW YORK                                                    
10275    	NEW YORK                      	NY	NEW YORK                                                    
10276    	NEW YORK                      	NY	NEW YORK                                                    
10277    	NEW YORK                      	NY	NEW YORK                                                    
10278    	NEW YORK                      	NY	NEW YORK                                                    
10279    	NEW YORK                      	NY	NEW YORK                                                    
10280    	NEW YORK                      	NY	NEW YORK                                                    
10281    	NEW YORK                      	NY	NEW YORK                                                    
10282    	NEW YORK                      	NY	NEW YORK                                                    
10285    	NEW YORK                      	NY	NEW YORK                                                    
10286    	NEW YORK                      	NY	NEW YORK                                                    
10292    	NEW YORK                      	NY	NEW YORK                                                    
10301    	STATEN ISLAND                 	NY	RICHMOND                                                    
10302    	STATEN ISLAND                 	NY	RICHMOND                                                    
10303    	STATEN ISLAND                 	NY	RICHMOND                                                    
10304    	STATEN ISLAND                 	NY	RICHMOND                                                    
10305    	STATEN ISLAND                 	NY	RICHMOND                                                    
10306    	STATEN ISLAND                 	NY	RICHMOND                                                    
10307    	STATEN ISLAND                 	NY	RICHMOND                                                    
10308    	STATEN ISLAND                 	NY	RICHMOND                                                    
10309    	STATEN ISLAND                 	NY	RICHMOND                                                    
10310    	STATEN ISLAND                 	NY	RICHMOND                                                    
10311    	STATEN ISLAND                 	NY	RICHMOND                                                    
10312    	STATEN ISLAND                 	NY	RICHMOND                                                    
10313    	STATEN ISLAND                 	NY	RICHMOND                                                    
10314    	STATEN ISLAND                 	NY	RICHMOND                                                    
10451    	BRONX                         	NY	BRONX                                                       
10452    	BRONX                         	NY	BRONX                                                       
10453    	BRONX                         	NY	BRONX                                                       
10454    	BRONX                         	NY	BRONX                                                       
10455    	BRONX                         	NY	BRONX                                                       
10456    	BRONX                         	NY	BRONX                                                       
10457    	BRONX                         	NY	BRONX                                                       
10458    	BRONX                         	NY	BRONX                                                       
10459    	BRONX                         	NY	BRONX                                                       
10460    	BRONX                         	NY	BRONX                                                       
10461    	BRONX                         	NY	BRONX                                                       
10462    	BRONX                         	NY	BRONX                                                       
10463    	BRONX                         	NY	BRONX                                                       
10464    	BRONX                         	NY	BRONX                                                       
10465    	BRONX                         	NY	BRONX                                                       
10466    	BRONX                         	NY	BRONX                                                       
10467    	BRONX                         	NY	BRONX                                                       
10468    	BRONX                         	NY	BRONX                                                       
10469    	BRONX                         	NY	BRONX                                                       
10470    	BRONX                         	NY	BRONX                                                       
10471    	BRONX                         	NY	BRONX                                                       
10472    	BRONX                         	NY	BRONX                                                       
10473    	BRONX                         	NY	BRONX                                                       
10474    	BRONX                         	NY	BRONX                                                       
10475    	BRONX                         	NY	BRONX                                                       
10499    	BRONX                         	NY	BRONX                                                       
10501    	AMAWALK                       	NY	WESTCHESTER                                                 
10502    	ARDSLEY                       	NY	WESTCHESTER                                                 
10503    	ARDSLEY ON HUDSON             	NY	WESTCHESTER                                                 
10504    	ARMONK                        	NY	WESTCHESTER                                                 
10505    	BALDWIN PLACE                 	NY	WESTCHESTER                                                 
10506    	BEDFORD                       	NY	WESTCHESTER                                                 
10507    	BEDFORD HILLS                 	NY	WESTCHESTER                                                 
10509    	BREWSTER                      	NY	PUTNAM                                                      
10510    	BRIARCLIFF MANOR              	NY	WESTCHESTER                                                 
10511    	BUCHANAN                      	NY	WESTCHESTER                                                 
10512    	CARMEL                        	NY	PUTNAM                                                      
10514    	CHAPPAQUA                     	NY	WESTCHESTER                                                 
10516    	COLD SPRING                   	NY	PUTNAM                                                      
10517    	CROMPOND                      	NY	WESTCHESTER                                                 
10518    	CROSS RIVER                   	NY	WESTCHESTER                                                 
10519    	CROTON FALLS                  	NY	WESTCHESTER                                                 
10520    	CROTON ON HUDSON              	NY	WESTCHESTER                                                 
10521    	CROTON ON HUDSON              	NY	WESTCHESTER                                                 
10522    	DOBBS FERRY                   	NY	WESTCHESTER                                                 
10523    	ELMSFORD                      	NY	WESTCHESTER                                                 
10524    	GARRISON                      	NY	PUTNAM                                                      
10526    	GOLDENS BRIDGE                	NY	WESTCHESTER                                                 
10527    	GRANITE SPRINGS               	NY	WESTCHESTER                                                 
10528    	HARRISON                      	NY	WESTCHESTER                                                 
10530    	HARTSDALE                     	NY	WESTCHESTER                                                 
10532    	HAWTHORNE                     	NY	WESTCHESTER                                                 
10533    	IRVINGTON                     	NY	WESTCHESTER                                                 
10535    	JEFFERSON VALLEY              	NY	WESTCHESTER                                                 
10536    	KATONAH                       	NY	WESTCHESTER                                                 
10537    	LAKE PEEKSKILL                	NY	PUTNAM                                                      
10538    	LARCHMONT                     	NY	WESTCHESTER                                                 
10540    	LINCOLNDALE                   	NY	WESTCHESTER                                                 
10541    	MAHOPAC                       	NY	PUTNAM                                                      
10542    	MAHOPAC FALLS                 	NY	PUTNAM                                                      
10543    	MAMARONECK                    	NY	WESTCHESTER                                                 
10545    	MARYKNOLL                     	NY	WESTCHESTER                                                 
10546    	MILLWOOD                      	NY	WESTCHESTER                                                 
10547    	MOHEGAN LAKE                  	NY	WESTCHESTER                                                 
10548    	MONTROSE                      	NY	WESTCHESTER                                                 
10549    	MOUNT KISCO                   	NY	WESTCHESTER                                                 
10550    	MOUNT VERNON                  	NY	WESTCHESTER                                                 
10551    	MOUNT VERNON                  	NY	WESTCHESTER                                                 
10552    	MOUNT VERNON                  	NY	WESTCHESTER                                                 
10553    	MOUNT VERNON                  	NY	WESTCHESTER                                                 
10557    	MOUNT VERNON                  	NY	WESTCHESTER                                                 
10558    	MOUNT VERNON                  	NY	WESTCHESTER                                                 
10559    	MOUNT VERNON                  	NY	WESTCHESTER                                                 
10560    	NORTH SALEM                   	NY	WESTCHESTER                                                 
10562    	OSSINING                      	NY	WESTCHESTER                                                 
10566    	PEEKSKILL                     	NY	WESTCHESTER                                                 
10567    	CORTLANDT MANOR               	NY	WESTCHESTER                                                 
10570    	PLEASANTVILLE                 	NY	WESTCHESTER                                                 
10571    	PLEASANTVILLE                 	NY	WESTCHESTER                                                 
10572    	PLEASANTVILLE                 	NY	WESTCHESTER                                                 
10573    	PORT CHESTER                  	NY	WESTCHESTER                                                 
10576    	POUND RIDGE                   	NY	WESTCHESTER                                                 
10577    	PURCHASE                      	NY	WESTCHESTER                                                 
10578    	PURDYS                        	NY	WESTCHESTER                                                 
10579    	PUTNAM VALLEY                 	NY	PUTNAM                                                      
10580    	RYE                           	NY	WESTCHESTER                                                 
10581    	RYE                           	NY	WESTCHESTER                                                 
10583    	SCARSDALE                     	NY	WESTCHESTER                                                 
10587    	SHENOROCK                     	NY	WESTCHESTER                                                 
10588    	SHRUB OAK                     	NY	WESTCHESTER                                                 
10589    	SOMERS                        	NY	WESTCHESTER                                                 
10590    	SOUTH SALEM                   	NY	WESTCHESTER                                                 
10591    	TARRYTOWN                     	NY	WESTCHESTER                                                 
10592    	TARRYTOWN                     	NY	                                                            
10594    	THORNWOOD                     	NY	WESTCHESTER                                                 
10595    	VALHALLA                      	NY	WESTCHESTER                                                 
10596    	VERPLANCK                     	NY	WESTCHESTER                                                 
10597    	WACCABUC                      	NY	WESTCHESTER                                                 
10598    	YORKTOWN HEIGHTS              	NY	WESTCHESTER                                                 
10601    	WHITE PLAINS                  	NY	WESTCHESTER                                                 
10602    	WHITE PLAINS                  	NY	WESTCHESTER                                                 
10603    	WHITE PLAINS                  	NY	WESTCHESTER                                                 
10604    	WEST HARRISON                 	NY	WESTCHESTER                                                 
10605    	WHITE PLAINS                  	NY	WESTCHESTER                                                 
10606    	WHITE PLAINS                  	NY	WESTCHESTER                                                 
10607    	WHITE PLAINS                  	NY	WESTCHESTER                                                 
10610    	WHITE PLAINS                  	NY	WESTCHESTER                                                 
10625    	WHITE PLAINS                  	NY	WESTCHESTER                                                 
10629    	WHITE PLAINS                  	NY	WESTCHESTER                                                 
10633    	WHITE PLAINS                  	NY	WESTCHESTER                                                 
10650    	WHITE PLAINS                  	NY	WESTCHESTER                                                 
10701    	YONKERS                       	NY	WESTCHESTER                                                 
10702    	YONKERS                       	NY	WESTCHESTER                                                 
10703    	YONKERS                       	NY	WESTCHESTER                                                 
10704    	YONKERS                       	NY	WESTCHESTER                                                 
10705    	YONKERS                       	NY	WESTCHESTER                                                 
10706    	HASTINGS ON HUDSON            	NY	WESTCHESTER                                                 
10707    	TUCKAHOE                      	NY	WESTCHESTER                                                 
10708    	BRONXVILLE                    	NY	WESTCHESTER                                                 
10709    	EASTCHESTER                   	NY	WESTCHESTER                                                 
10710    	YONKERS                       	NY	WESTCHESTER                                                 
10801    	NEW ROCHELLE                  	NY	WESTCHESTER                                                 
10802    	NEW ROCHELLE                  	NY	WESTCHESTER                                                 
10803    	PELHAM                        	NY	WESTCHESTER                                                 
10804    	NEW ROCHELLE                  	NY	WESTCHESTER                                                 
10805    	NEW ROCHELLE                  	NY	WESTCHESTER                                                 
10901    	SUFFERN                       	NY	ROCKLAND                                                    
10910    	ARDEN                         	NY	ORANGE                                                      
10911    	BEAR MOUNTAIN                 	NY	ROCKLAND                                                    
10912    	BELLVALE                      	NY	ORANGE                                                      
10913    	BLAUVELT                      	NY	ROCKLAND                                                    
10914    	BLOOMING GROVE                	NY	ORANGE                                                      
10915    	BULLVILLE                     	NY	ORANGE                                                      
10916    	CAMPBELL HALL                 	NY	ORANGE                                                      
10917    	CENTRAL VALLEY                	NY	ORANGE                                                      
10918    	CHESTER                       	NY	ORANGE                                                      
10919    	CIRCLEVILLE                   	NY	ORANGE                                                      
10920    	CONGERS                       	NY	ROCKLAND                                                    
10921    	FLORIDA                       	NY	ORANGE                                                      
10922    	FORT MONTGOMERY               	NY	ORANGE                                                      
10923    	GARNERVILLE                   	NY	ROCKLAND                                                    
10924    	GOSHEN                        	NY	ORANGE                                                      
10925    	GREENWOOD LAKE                	NY	ORANGE                                                      
10926    	HARRIMAN                      	NY	ORANGE                                                      
10927    	HAVERSTRAW                    	NY	ROCKLAND                                                    
10928    	HIGHLAND FALLS                	NY	ORANGE                                                      
10930    	HIGHLAND MILLS                	NY	ORANGE                                                      
10931    	HILLBURN                      	NY	ROCKLAND                                                    
10932    	HOWELLS                       	NY	ORANGE                                                      
10933    	JOHNSON                       	NY	ORANGE                                                      
10940    	MIDDLETOWN                    	NY	ORANGE                                                      
10941    	MIDDLETOWN                    	NY	ORANGE                                                      
10943    	MIDDLETOWN                    	NY	ORANGE                                                      
10949    	MONROE                        	NY	ORANGE                                                      
10950    	MONROE                        	NY	ORANGE                                                      
10951    	                              	NY	                                                            
10952    	MONSEY                        	NY	ROCKLAND                                                    
10953    	MOUNTAINVILLE                 	NY	ORANGE                                                      
10954    	NANUET                        	NY	ROCKLAND                                                    
10956    	NEW CITY                      	NY	ROCKLAND                                                    
10958    	NEW HAMPTON                   	NY	ORANGE                                                      
10959    	NEW MILFORD                   	NY	ORANGE                                                      
10960    	NYACK                         	NY	ROCKLAND                                                    
10962    	ORANGEBURG                    	NY	ROCKLAND                                                    
10963    	OTISVILLE                     	NY	ORANGE                                                      
10964    	PALISADES                     	NY	ROCKLAND                                                    
10965    	PEARL RIVER                   	NY	ROCKLAND                                                    
10968    	PIERMONT                      	NY	ROCKLAND                                                    
10969    	PINE ISLAND                   	NY	ORANGE                                                      
10970    	POMONA                        	NY	ROCKLAND                                                    
10973    	SLATE HILL                    	NY	ORANGE                                                      
10974    	SLOATSBURG                    	NY	ROCKLAND                                                    
10975    	SOUTHFIELDS                   	NY	ORANGE                                                      
10976    	SPARKILL                      	NY	ROCKLAND                                                    
10977    	SPRING VALLEY                 	NY	ROCKLAND                                                    
10979    	STERLING FOREST               	NY	ORANGE                                                      
10980    	STONY POINT                   	NY	ROCKLAND                                                    
10981    	SUGAR LOAF                    	NY	ORANGE                                                      
10982    	TALLMAN                       	NY	ROCKLAND                                                    
10983    	TAPPAN                        	NY	ROCKLAND                                                    
10984    	THIELLS                       	NY	ROCKLAND                                                    
10985    	THOMPSON RIDGE                	NY	ORANGE                                                      
10986    	TOMKINS COVE                  	NY	ROCKLAND                                                    
10987    	TUXEDO PARK                   	NY	ORANGE                                                      
10988    	UNIONVILLE                    	NY	ORANGE                                                      
10989    	VALLEY COTTAGE                	NY	ROCKLAND                                                    
10990    	WARWICK                       	NY	ORANGE                                                      
10992    	WASHINGTONVILLE               	NY	ORANGE                                                      
10993    	WEST HAVERSTRAW               	NY	ROCKLAND                                                    
10994    	WEST NYACK                    	NY	ROCKLAND                                                    
10995    	WEST NYACK                    	NY	ROCKLAND                                                    
10996    	WEST POINT                    	NY	ORANGE                                                      
10997    	WEST POINT                    	NY	ORANGE                                                      
10998    	WESTTOWN                      	NY	ORANGE                                                      
11001    	FLORAL PARK                   	NY	NASSAU                                                      
11002    	FLORAL PARK                   	NY	NASSAU                                                      
11003    	ELMONT                        	NY	NASSAU                                                      
11004    	GLEN OAKS                     	NY	QUEENS                                                      
11005    	FLORAL PARK                   	NY	QUEENS                                                      
11010    	FRANKLIN SQUARE               	NY	NASSAU                                                      
11020    	GREAT NECK                    	NY	NASSAU                                                      
11021    	GREAT NECK                    	NY	NASSAU                                                      
11022    	GREAT NECK                    	NY	NASSAU                                                      
11023    	GREAT NECK                    	NY	NASSAU                                                      
11024    	GREAT NECK                    	NY	NASSAU                                                      
11025    	GREAT NECK                    	NY	NASSAU                                                      
11026    	GREAT NECK                    	NY	NASSAU                                                      
11027    	GREAT NECK                    	NY	NASSAU                                                      
11030    	MANHASSET                     	NY	NASSAU                                                      
11040    	NEW HYDE PARK                 	NY	NASSAU                                                      
11041    	NEW HYDE PARK                 	NY	NASSAU                                                      
11042    	NEW HYDE PARK                 	NY	NASSAU                                                      
11043    	NEW HYDE PARK                 	NY	NASSAU                                                      
11044    	NEW HYDE PARK                 	NY	NASSAU                                                      
11050    	PORT WASHINGTON               	NY	NASSAU                                                      
11051    	PORT WASHINGTON               	NY	NASSAU                                                      
11052    	PORT WASHINGTON               	NY	NASSAU                                                      
11053    	PORT WASHINGTON               	NY	NASSAU                                                      
11054    	PORT WASHINGTON               	NY	NASSAU                                                      
11055    	PORT WASHINGTON               	NY	NASSAU                                                      
11096    	INWOOD                        	NY	NASSAU                                                      
11099    	NEW HYDE PARK                 	NY	NASSAU                                                      
11101    	LONG ISLAND CITY              	NY	QUEENS                                                      
11102    	ASTORIA                       	NY	QUEENS                                                      
11103    	ASTORIA                       	NY	QUEENS                                                      
11104    	SUNNYSIDE                     	NY	QUEENS                                                      
11105    	ASTORIA                       	NY	QUEENS                                                      
11106    	ASTORIA                       	NY	QUEENS                                                      
11109    	LONG ISLAND CITY              	NY	QUEENS                                                      
11120    	LONG ISLAND CITY              	NY	QUEENS                                                      
11201    	BROOKLYN                      	NY	KINGS                                                       
11202    	BROOKLYN                      	NY	KINGS                                                       
11203    	BROOKLYN                      	NY	KINGS                                                       
11204    	BROOKLYN                      	NY	KINGS                                                       
11205    	BROOKLYN                      	NY	KINGS                                                       
11206    	BROOKLYN                      	NY	KINGS                                                       
11207    	BROOKLYN                      	NY	KINGS                                                       
11208    	BROOKLYN                      	NY	KINGS                                                       
11209    	BROOKLYN                      	NY	KINGS                                                       
11210    	BROOKLYN                      	NY	KINGS                                                       
11211    	BROOKLYN                      	NY	KINGS                                                       
11212    	BROOKLYN                      	NY	KINGS                                                       
11213    	BROOKLYN                      	NY	KINGS                                                       
11214    	BROOKLYN                      	NY	KINGS                                                       
11215    	BROOKLYN                      	NY	KINGS                                                       
11216    	BROOKLYN                      	NY	KINGS                                                       
11217    	BROOKLYN                      	NY	KINGS                                                       
